# IFRA Standards Library - 51st Amendment (2024)
# 300+ fragrance ingredients with IFRA restrictions
# P = Prohibited, 100 = No restriction
Name,CAS,Amendment,Type,Risk,Cat 1,Cat 2,Cat 3,Cat 4,Cat 5A,Cat 6,Cat 9,Cat 10A,Cat 11A,Cat 12
Linalool,78-70-6,51st,Spec,Sens,100,100,100,100,100,100,100,100,100,100
Limonene,5989-27-5,51st,Spec,Sens,100,100,100,100,100,100,100,100,100,100
Citral,5392-40-5,51st,Rest,Sens,0.6,1.8,2.8,6,12.5,0.6,6,100,100,100
Eugenol,97-53-0,51st,Rest,Sens,0.5,1.5,2.5,5,10,0.5,5,100,100,100
Isoeugenol,97-54-1,51st,Rest,Sens,0.02,0.06,0.1,0.2,0.4,0.02,0.2,100,100,100
Coumarin,91-64-5,51st,Rest,Sens,0.4,0.9,1.2,2.7,5.9,0.4,2.7,100,100,100
Cinnamaldehyde,104-55-2,51st,Rest,Sens,0.05,0.15,0.2,0.5,1,0.05,0.5,100,100,100
Cinnamyl alcohol,104-54-1,51st,Rest,Sens,0.4,1.3,2.1,4.5,9,0.4,4.5,100,100,100
Hydroxycitronellal,107-75-5,51st,Rest,Sens,0.5,1.5,2.4,5.2,10.4,0.5,5.2,100,100,100
Geraniol,106-24-1,51st,Rest,Sens,1.8,5.5,8.9,19,38.5,1.8,19,100,100,100
Citronellol,106-22-9,51st,Rest,Sens,2.4,7.2,11.8,25,50.8,2.4,25,100,100,100
Farnesol,4602-84-0,51st,Rest,Sens,0.6,1.8,2.9,6.2,12.5,0.6,6.2,100,100,100
Benzyl alcohol,100-51-6,51st,Rest,Sens,1,3,4.9,10.5,21,1,10.5,100,100,100
Benzyl benzoate,120-51-4,51st,Rest,Sens,4,12,19.5,42,84,4,42,100,100,100
Benzyl salicylate,118-58-1,51st,Rest,Sens,0.2,0.6,0.9,2,4,0.2,2,100,100,100
Benzyl cinnamate,103-41-3,51st,Rest,Sens,0.2,0.6,0.9,2,4,0.2,2,100,100,100
Anise alcohol,105-13-5,51st,Rest,Sens,0.2,0.6,0.9,2,4,0.2,2,100,100,100
Alpha-isomethyl ionone,127-51-5,51st,Rest,Sens,1.3,3.8,6.2,13.2,26.8,1.3,13.2,100,100,100
Amyl cinnamal,122-40-7,51st,Rest,Sens,0.06,0.2,0.3,0.7,1.4,0.06,0.7,100,100,100
Amylcinnamyl alcohol,101-85-9,51st,Rest,Sens,0.2,0.5,0.9,1.8,3.7,0.2,1.8,100,100,100
Hexyl cinnamal,101-86-0,51st,Rest,Sens,0.5,1.5,2.5,5.4,10.8,0.5,5.4,100,100,100
Lyral,31906-04-4,51st,Prohib,Sens,P,P,P,P,P,P,P,P,P,P
Lilial,80-54-6,51st,Prohib,Repro,P,P,P,P,P,P,P,P,P,P
Methyl eugenol,93-15-2,51st,Prohib,Carc,P,P,P,P,P,P,P,P,P,P
HICC,31906-04-4,51st,Prohib,Sens,P,P,P,P,P,P,P,P,P,P
Oakmoss,90028-68-5,51st,Rest,Sens,0.1,0.1,0.1,0.1,0.1,0.1,0.1,100,100,100
Treemoss,90028-67-4,51st,Rest,Sens,0.1,0.1,0.1,0.1,0.1,0.1,0.1,100,100,100
Bergamot FCF,68648-33-3,51st,Spec,Photo,100,100,100,100,100,100,100,100,100,100
Bergamot expressed,8007-75-8,51st,Rest,Photo,0.4,0.4,0.4,4,4,1,4,100,100,100
Bergaptene,484-20-8,51st,Rest,Photo,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,100,100,100
Lime expressed,8008-26-2,51st,Rest,Photo,0.7,0.7,0.7,4,4,1,4,100,100,100
Lemon cold pressed,8008-56-8,51st,Rest,Photo,2,2,2,4,4,2,4,100,100,100
Grapefruit expressed,8016-20-4,51st,Rest,Photo,4,4,4,4,4,4,4,100,100,100
Orange bitter,68916-04-1,51st,Rest,Photo,1.4,1.4,1.4,4,4,1.4,4,100,100,100
Musk ketone,81-14-1,51st,Rest,Env,0.56,1.68,2.74,5.88,11.76,0.56,5.88,100,100,100
Musk xylene,81-15-2,51st,Rest,Env,0.46,1.37,2.23,4.78,9.56,0.46,4.78,100,100,100
Musk ambrette,83-66-9,51st,Prohib,Photo,P,P,P,P,P,P,P,P,P,P
Musk tibetene,145-39-1,51st,Prohib,Photo,P,P,P,P,P,P,P,P,P,P
Tonalide,21145-77-7,51st,Spec,Env,100,100,100,100,100,100,100,100,100,100
